dimensions,cpu times,gpu times
212,1.10626220703125e-05,0.0004118204116821289
213,1.8286705017089844e-05,0.00040750503540039064
214,1.1157989501953124e-05,0.00041072368621826173
215,1.1944770812988282e-05,0.00041043758392333984
216,1.02996826171875e-05,0.00040938854217529295
217,1.0514259338378907e-05,0.00041043758392333984
218,1.0514259338378907e-05,0.00041117668151855467
219,1.0919570922851562e-05,0.00040559768676757814
220,1.0561943054199218e-05,0.00040752887725830077
221,1.2421607971191407e-05,0.00041880607604980467
222,2.5320053100585938e-05,0.0004046440124511719
223,1.7523765563964844e-05,0.0004105567932128906
224,1.125335693359375e-05,0.0004046916961669922
225,1.0156631469726563e-05,0.00040736198425292967
226,1.773834228515625e-05,0.00041234493255615234
227,1.5163421630859375e-05,0.0004135608673095703
228,9.584426879882813e-06,0.00041518211364746096
229,1.0371208190917969e-05,0.0004137277603149414
230,1.2469291687011718e-05,0.0004175901412963867
231,1.2350082397460937e-05,0.0004194736480712891
232,1.0943412780761718e-05,0.00041017532348632815
233,1.0728836059570312e-05,0.0004183053970336914
234,1.0251998901367188e-05,0.00040683746337890627
235,2.5343894958496093e-05,0.0004134654998779297
236,1.873970031738281e-05,0.0004137516021728516
237,1.2278556823730469e-05,0.0004071474075317383
238,1.0085105895996093e-05,0.00048744678497314453
239,1.2183189392089844e-05,0.00042421817779541015
240,1.2445449829101563e-05,0.0004059553146362305
241,1.0776519775390626e-05,0.0004205942153930664
242,9.1552734375e-06,0.000404667854309082
243,1.0609626770019531e-05,0.0004194736480712891
244,9.22679901123047e-06,0.00042028427124023436
245,1.1110305786132813e-05,0.00040884017944335936
246,1.2159347534179688e-05,0.0004112482070922852
247,1.3136863708496094e-05,0.0004123210906982422
248,1.1205673217773438e-05,0.00042364597320556643
249,9.965896606445312e-06,0.00041387081146240237
250,1.1682510375976562e-05,0.0004187583923339844
251,1.1396408081054687e-05,0.000415492057800293
252,3.905296325683594e-05,0.0005611419677734375
253,0.00011823177337646484,0.0007260799407958985
254,1.666545867919922e-05,0.0008707284927368164
255,1.7094612121582032e-05,0.0004577159881591797
256,1.8382072448730467e-05,0.00045359134674072266
257,2.753734588623047e-05,0.0004458904266357422
258,2.7728080749511718e-05,0.00044505596160888673
259,1.2159347534179688e-05,0.0004263401031494141
260,1.3089179992675781e-05,0.0004275321960449219
261,9.703636169433594e-06,0.00040061473846435546
262,1.2302398681640625e-05,0.00041806697845458984
263,1.018047332763672e-05,0.000423121452331543
264,1.1587142944335938e-05,0.0004222631454467773
265,1.2636184692382812e-05,0.0004459381103515625
266,1.1301040649414062e-05,0.00041325092315673827
267,1.0466575622558593e-05,0.00041749477386474607
268,1.2969970703125e-05,0.00042028427124023436
269,1.0633468627929688e-05,0.00041656494140625
270,1.18255615234375e-05,0.0004173755645751953
271,1.1944770812988282e-05,0.0004229545593261719
272,1.2135505676269531e-05,0.00041010379791259763
273,1.3971328735351563e-05,0.00042095184326171873
274,1.2350082397460937e-05,0.00042161941528320315
275,1.2421607971191407e-05,0.0004083395004272461
276,1.1682510375976562e-05,0.0005115032196044922
277,1.2278556823730469e-05,0.00041332244873046873
278,1.2421607971191407e-05,0.00041701793670654295
279,1.4853477478027343e-05,0.0004563331604003906
280,1.4901161193847656e-05,0.00041513442993164064
281,1.2922286987304688e-05,0.0004181385040283203
282,1.1301040649414062e-05,0.0004184484481811523
283,2.3055076599121094e-05,0.00041201114654541013
284,2.510547637939453e-05,0.0004235506057739258
285,1.080036163330078e-05,0.00042407512664794923
286,1.0538101196289063e-05,0.00041730403900146483
287,1.3518333435058594e-05,0.00041954517364501954
288,1.373291015625e-05,0.0004156827926635742
289,1.354217529296875e-05,0.0004218101501464844
290,1.4519691467285156e-05,0.000488901138305664
291,1.1014938354492188e-05,0.00045139789581298827
292,1.583099365234375e-05,0.00044815540313720704
293,9.942054748535157e-06,0.00046620368957519533
294,1.1944770812988282e-05,0.00044713020324707033
295,1.18255615234375e-05,0.00044744014739990235
296,1.2040138244628906e-05,0.00044608116149902344
297,1.1706352233886719e-05,0.000454401969909668
298,1.316070556640625e-05,0.0004499912261962891
299,1.3494491577148438e-05,0.00045549869537353516
300,1.2826919555664062e-05,0.0004586458206176758
301,1.1968612670898438e-05,0.0004519939422607422
302,1.2874603271484375e-05,0.00046417713165283205
303,1.4543533325195312e-05,0.0004689455032348633
304,1.5187263488769532e-05,0.00044946670532226564
305,1.220703125e-05,0.0004479646682739258
306,1.5115737915039062e-05,0.00045900344848632814
307,1.2946128845214843e-05,0.00045816898345947267
308,1.2040138244628906e-05,0.00046024322509765627
309,1.4591217041015626e-05,0.0004575014114379883
310,1.4400482177734375e-05,0.00044057369232177737
311,1.3494491577148438e-05,0.00046856403350830077
312,1.208782196044922e-05,0.00045313835144042967
313,1.1730194091796876e-05,0.00045166015625
314,1.3279914855957032e-05,0.00044693946838378904
315,1.1205673217773438e-05,0.00044240951538085935
316,1.6117095947265624e-05,0.0004634857177734375
317,1.2660026550292969e-05,0.0004467010498046875
318,1.3184547424316406e-05,0.0004425048828125
319,1.3375282287597657e-05,0.0004530906677246094
320,1.1563301086425781e-05,0.00046706199645996094
321,1.4853477478027343e-05,0.0004668235778808594
322,1.3875961303710938e-05,0.0004975557327270508
323,1.4042854309082031e-05,0.0004532337188720703
324,2.1886825561523437e-05,0.00046858787536621096
325,1.4638900756835937e-05,0.00046355724334716796
326,1.3613700866699219e-05,0.0004465818405151367
327,1.7237663269042968e-05,0.00045180320739746094
328,1.2564659118652344e-05,0.00045647621154785154
329,1.3375282287597657e-05,0.0004557132720947266
330,1.2969970703125e-05,0.0004512786865234375
331,1.3971328735351563e-05,0.0004614353179931641
332,1.9025802612304687e-05,0.0004523754119873047
333,1.4710426330566407e-05,0.0004915475845336914
334,1.3947486877441406e-05,0.00045146942138671873
335,1.4019012451171874e-05,0.0004503011703491211
336,1.4019012451171874e-05,0.0004734516143798828
337,1.4472007751464844e-05,0.0004564046859741211
338,1.3327598571777343e-05,0.0004597187042236328
339,1.6140937805175782e-05,0.0004568576812744141
340,1.876354217529297e-05,0.0004505157470703125
341,1.3136863708496094e-05,0.0004782676696777344
342,1.4424324035644531e-05,0.0005031585693359375
343,1.4400482177734375e-05,0.00046498775482177733
344,1.4185905456542969e-05,0.00046193599700927734
345,1.4185905456542969e-05,0.00046308040618896483
346,1.3208389282226562e-05,0.0004628896713256836
347,1.3756752014160157e-05,0.00046782493591308595
348,1.4257431030273437e-05,0.00045578479766845704
349,1.761913299560547e-05,0.0004614114761352539
350,1.4185905456542969e-05,0.0004648447036743164
351,1.3470649719238281e-05,0.00045714378356933596
352,1.392364501953125e-05,0.0004642486572265625
353,1.4710426330566407e-05,0.00046455860137939453
354,1.4162063598632812e-05,0.00045754909515380857
355,1.4853477478027343e-05,0.00047338008880615234
356,1.461505889892578e-05,0.0004659891128540039
357,1.399517059326172e-05,0.0004642009735107422
358,1.940727233886719e-05,0.00046226978302001955
359,1.4376640319824218e-05,0.00047249794006347655
360,1.3637542724609376e-05,0.0005454778671264649
361,1.4400482177734375e-05,0.00046601295471191404
362,1.4472007751464844e-05,0.00047132968902587893
363,1.3875961303710938e-05,0.0004601001739501953
364,1.56402587890625e-05,0.00046782493591308595
365,1.4853477478027343e-05,0.0004677295684814453
366,1.4781951904296875e-05,0.0004937648773193359
367,1.6617774963378907e-05,0.0004801034927368164
368,1.4662742614746094e-05,0.00044944286346435545
369,1.3947486877441406e-05,0.0004623174667358398
370,1.671314239501953e-05,0.00046279430389404295
371,1.5282630920410155e-05,0.00046885013580322266
372,1.5187263488769532e-05,0.0004665851593017578
373,1.79290771484375e-05,0.0004653453826904297
374,1.4901161193847656e-05,0.00046427249908447265
375,1.4090538024902344e-05,0.0004601001739501953
376,1.5187263488769532e-05,0.000468897819519043
377,1.7094612121582032e-05,0.00048718452453613283
378,1.6117095947265624e-05,0.00047969818115234375
379,1.56402587890625e-05,0.0004747629165649414
380,1.5282630920410155e-05,0.00047550201416015627
381,1.52587890625e-05,0.00048527717590332033
382,1.506805419921875e-05,0.000482940673828125
383,1.6307830810546876e-05,0.0005045413970947265
384,1.6450881958007812e-05,0.0004992961883544921
385,1.9311904907226562e-05,0.0004904270172119141
386,2.067089080810547e-05,0.0005052328109741211
387,1.5187263488769532e-05,0.0004780054092407227
388,2.1648406982421874e-05,0.00048325061798095705
389,1.6355514526367186e-05,0.00048334598541259765
390,1.7189979553222655e-05,0.00048041343688964844
391,1.5115737915039062e-05,0.0004796028137207031
392,1.5997886657714842e-05,0.0004688262939453125
393,1.4543533325195312e-05,0.0004687786102294922
394,1.761913299560547e-05,0.0005159854888916015
395,1.7070770263671874e-05,0.0004777669906616211
396,1.5521049499511717e-05,0.0004772186279296875
